creek_id,AnalyteName,observations,num_stations,obv_ratio,prop_acceptable,score,score_2,min_date,max_datae
ALH,Dissolved Oxygen,55,1,55,0.6727272727272727,Marginal,1,2018-08-24T00:00:00Z,2025-12-13T00:00:00Z
ALH,pH,54,1,54,1,Good,2,2018-08-24T00:00:00Z,2025-12-13T00:00:00Z
ALH,Specific Conductivity,54,1,54,0.018518518518518517,Bad,0,2018-08-24T00:00:00Z,2025-12-13T00:00:00Z
ALH,Temperature,55,1,55,1,Good,2,2018-08-24T00:00:00Z,2025-12-13T00:00:00Z
ALH,Turbidity,51,1,51,0.9019607843137255,Good,2,2018-09-14T00:00:00Z,2025-12-13T00:00:00Z
GAL,Dissolved Oxygen,41,3,13.666666666666666,0.7073170731707317,Marginal,1,2024-01-27T00:00:00Z,2025-12-17T00:00:00Z
GAL,pH,40,3,13.333333333333334,1,Good,2,2024-01-27T00:00:00Z,2025-12-17T00:00:00Z
GAL,Specific Conductivity,42,3,14,0.07142857142857142,Bad,0,2024-01-27T00:00:00Z,2025-12-17T00:00:00Z
GAL,Temperature,42,3,14,1,Good,2,2024-01-27T00:00:00Z,2025-12-17T00:00:00Z
HOB,Dissolved Oxygen,41,2,20.5,1,Good,2,2024-01-27T00:00:00Z,2025-12-17T00:00:00Z
HOB,pH,41,2,20.5,1,Good,2,2024-01-27T00:00:00Z,2025-12-17T00:00:00Z
HOB,Specific Conductivity,43,2,21.5,0.046511627906976744,Bad,0,2024-01-27T00:00:00Z,2025-12-17T00:00:00Z
HOB,Temperature,43,2,21.5,0.9767441860465116,Good,2,2024-01-27T00:00:00Z,2025-12-17T00:00:00Z
LAG,Dissolved Oxygen,6,1,6,1,Good,2,2025-06-10T00:00:00Z,2025-12-23T00:00:00Z
LAG,pH,6,1,6,1,Good,2,2025-06-10T00:00:00Z,2025-12-23T00:00:00Z
LAG,Specific Conductivity,6,1,6,0,Bad,0,2025-06-10T00:00:00Z,2025-12-23T00:00:00Z
LAG,Temperature,6,1,6,1,Good,2,2025-06-10T00:00:00Z,2025-12-23T00:00:00Z
